user,text
lwinboston,@JoeBiden We need you Joe Biden! #JoeBidenForPresident2020 https://t.co/1ALaO2nM21
basssavant,@JoeBiden It's fun coming to Joe's Twitter page after visiting trump's. I actually get to see complete and factual sentences.
andrewdouglass,"@JoeBiden You left off “We need this President to go to jail.” Yes, for crimes proven! Better yet we need him to go away."
TheWee_Bee,@JoeBiden WHO in GOD'S Name is writing your TEXTS?  They are so stupid.  Really....Dude....You need a new PR person.
Greenland1256,"@JoeBiden You need an efficient dementia testing, now..."
RosannaDana3,@JoeBiden We have a Great POTUS DJT who works hard everyday for real Americans!  You will never be able to fill DJT… https://t.co/fRBOHuT9aV
1rikkitikitavi,@JoeBiden @ValerieJarrett I agree!
JuniorfromHB,@JoeBiden We already have that Jill. Tell your husband to leave the basement more and he'll see that
CharlesSawyer7,"@JoeBiden What we NEED, are numbers that are not falsely inflated. If the data is bad then we have no real idea how bad the disease is."
john37736918,@JoeBiden Do you even know who you are
bogarner9,@JoeBiden Oh look it’s joe dirt... the basement rat
Jj12010,@JoeBiden Don’t have the corona don’t know anyone who has that Trump is doing just fine
jh_parris,"@JoeBiden Who writes this stuff, so far from reality Joe."
1phyx,@JoeBiden We need a Democrat candidate that knows where they are at.
ResistPres,"@JoeBiden Thank you Joe &amp; @potus, at the very least, the public should be able to get the same daily tests that Louie Gohmert got."
WatchNWaitn,"@JoeBiden Trump isn't going to do anything, and then he'll lie that he did. Oh, and that he did a great job. Like t… https://t.co/qRGt15I8g5"
HarifHerbie,@JoeBiden We need someone who cares about the elderly to report your family and Democrats for elder abuse already.
realMylesLong,@JoeBiden https://t.co/4BarnOOqzo
Michael00356343,@JoeBiden Shut  it....  Trump 2020
tonyperil,@JoeBiden Cruz needs to take a course in ethics. He’s helping Trump jr.  on a twitter matter and votes no to help t… https://t.co/Jsuwwrws5l
drump_donny,"@JoeBiden No, sir. We need YOU to do his job."
77lighthouse77,@JoeBiden Biden thinks he is President material https://t.co/7hyYPcXfmG
emmasno61675626,@JoeBiden Or just Hydroxycholoroquine
MamaD67801293,"@JoeBiden As one of those healthcare workers, I thank you for giving us hope.   Take the reigns &amp; lead us forward.… https://t.co/inpDoEjJ0a"
DimitriosK14,@JoeBiden Do you know your name banana?
Tim51498058,"@JoeBiden We need politicians and ""journalists"" to stop using fear as a tool of manipulation. We need the American… https://t.co/4MGc5npNG1"
mdugan1978,@JoeBiden We need Universal Health Care
MoreMAGALessDum,"@JoeBiden Hey Sleepy, what does PPE stand for? Go ask the staffer that wrote this tweet. #DementiaJoe"
EvanBoyce77,@JoeBiden https://t.co/izqdJbZQxf
CatDancerInSky1,@JoeBiden he won't do it-- he doesn't care &amp; never will
jjt1142,@JoeBiden Actually Biden would overtake Bush as the dumbest president ever if elected.
Jpdawe7,@JoeBiden https://t.co/nARr6tZjru
EvanBoyce77,@JoeBiden https://t.co/sxMv4T2v6J
YaDonkey,@JoeBiden ... and maybe some kind of healthcare that covers everybody... not that the thought of millions in hospit… https://t.co/v3QKITvlPJ
Stijl,@JoeBiden Trump is a failure.
JerriHafizi,@JoeBiden He’s incapable.  It will be up to you.  Choose your VP wisely.
DocZonefield,@JoeBiden Thank you Joe for endorsing President Trump as he’s taking care of our country’s needs.
Jpdawe7,@JoeBiden https://t.co/9C8gEdA9it
teapot_green,@JoeBiden 55 million COVID test  One of the lowest death rates in the world  3 vaccines in stage 3 trials  Over 10… https://t.co/sQPQYhLHNb
Grant_marsrover,"@JoeBiden We need M4A. The real one. Not the half arsed ""Medicare for all who want it"". Single payer Medicare for everything and everyone."
PaulGavigan4,@JoeBiden Joe said he never took a test
bigdwin2020,"@JoeBiden Yes, that's all true, but what we desperately need and want is for YOU to be our President."
slt521thof,@JoeBiden We have a President that IS doing his job. We have plenty of testing and plenty of PPE. You on the other… https://t.co/JRf2xjOPZs
SaveUSNow2020,"@JoeBiden Mr future president please do not call trump "" president"" he's not, he's only a leader of a bunch of ignorant and racist people."
CorioTim,@JoeBiden #DemPartyOfSlavery #DemPartyOfTheConfederacy #DemPartyOfTheKkk #DemPartyOfJimCrow #DemPartyOfTheNoose… https://t.co/75Sf0l989C
Jpdawe7,@JoeBiden https://t.co/2edxCcFvL8
Winterconnects,@JoeBiden We need you to be leading a private industry national response to this nightmare. The businesses that rec… https://t.co/3MpxhQwPE3
EvanBoyce77,@JoeBiden https://t.co/KowKebHF4n
LoveAndDynamite,@JoeBiden Yeah well good luck with that.
EiluapZoc,@JoeBiden If Biden gets becomes POTUS the far left will have him out of office for mental incompetence..and then hi… https://t.co/T5ajR16ADq
Sonya_61995,@JoeBiden We need you!!!!!!!!!!
stevehartzler,@JoeBiden You would absolutely do a better job than Trump on this and every other issue.
HatesHarry,@JoeBiden We need Joe  #Biden2020Landslide
skierdude60,@JoeBiden We need you to go away.
rgv341,@JoeBiden So Mr. Biden you are out in public campaigning without any personal protection or regards for all those a… https://t.co/yDnLPgEdzZ
fortruthssake2,@JoeBiden He’s doing the job Putin put him in office for. https://t.co/vsx2zI4vOt
CorioTim,@JoeBiden The Democrats comprehensive plan to control Covid involves murdering the elderly by forcing people with a… https://t.co/Zs3m3uVq8P
charmmom,@JoeBiden He will never be presidential. He will never do his job. #Biden2020Landslide
merlin07,@JoeBiden We need you.
JacobWillard19,@JoeBiden Most of us don’t trust you enough to trace us. Not going to happen.
JoeBlow59824862,@JoeBiden https://t.co/PmbJOeng0N
jmebersole88,"@JoeBiden He is doing his job creepy pedo Joe , why after 5 decades in office u finally wanting to do something ?? 🤔🤔🤔🤔"
JoeBlow59824862,@JoeBiden Trace this...asswipe
woodChiptheDems,@JoeBiden We need you to stop inappropriately touching women and children. 40+ years in govt and you're finally goi… https://t.co/v4elPlLLmm
sensible_jeffer,@JoeBiden Who is writing yr tweets? It clearly isn't you
PJMoore1958,@JoeBiden https://t.co/CGq3UCi3Tf
Captbobdad,"@JoeBiden He is, and will for 4 more years"
MLB30,@JoeBiden I’m voting for Joe! We need you sir ....desperately!
billg5050,@JoeBiden Come out from the basement Sleepy Joe and open your eyes.  @TeamTrump already going that while you're sti… https://t.co/ZABejlhLLP
SandraWors3,"@JoeBiden PPE IS CONTAMINATED, USELESS SH*T. FAUCI THE FRAUD RAN EXACTLY THE SAME LIE IN THE 80S WITH HIV UNTIL PRI… https://t.co/YRVKrQLZVo"
BohemianMainah,@JoeBiden https://t.co/gloyCboT2N
JohnDellAnno3,"@JoeBiden @JoeBiden I am an average working man who pays attention, and I am worried for my 9 yr. old daughters fut… https://t.co/19osZS7puH"
Kylelafrance1,@JoeBiden NO JOE BIDEN!
SMrright,@JoeBiden You're going to waste more money and time this year if you doubt me because it's not your destiny to be a president #Godcomment...
jonoriver51,@JoeBiden Absolutely 👏 and do ones oath for “All of the people”
Adam_Matherz,@JoeBiden Hiden Biden. https://t.co/EuxYanxVqr
VictorBalaur1,@JoeBiden You need coordinated and effective mental health treatment.  Get some help Joey.
ImNotFonzie,@JoeBiden Tracing?  No thank you.  Maybe put a trace on your son first.
jerry1newm,@JoeBiden We need candidates that are cognitive to rerun. Joe for your own benefit drop out now
lyinlefties,"@JoeBiden This president has done his job. The last president depleted our resources, during the h1n1 pandemic, and… https://t.co/n0x8TSqKP0"
clcgcolon,@JoeBiden Retire
SusanHo96190170,@JoeBiden We need Medicare for all!
PjcSadie,@JoeBiden We need to toss the #gop into dustbin of history with the confederates and nazis #VoteBlueToEndThisNightmare
GmanisQ,@JoeBiden We ALSO need to infuse massive funding to strengthen Americas public health system....it's been starved f… https://t.co/mqGdE6WW8Y
sewsharit,@JoeBiden Morning Mr. Joe  I must disagree on one point. The fool in the WH has never done 'his' job. We don't expe… https://t.co/TlQMrBnOdP
ClintP22831309,@JoeBiden We have national testing. Every order our hospital has made for ppe has been filled. Get out the basement Joe.
drbeba82,@JoeBiden What we need is a coherent foreign policy.  Trump is pulling us out of NATO at the behest of Putin.   Ple… https://t.co/lSTxt1fVgy
grdina_scott,@JoeBiden @ValerieJarrett Dementia @JoeBiden doesn't even know where he is half the time. #BlueMAGA is hilarious… https://t.co/VNlVHcJcLt
Justin93448394,@JoeBiden Trump will continue to do his job for the next 4 years! I can’t wait! #Trump2020LandslideVictory #Trump2020
Steely_Dann1,@JoeBiden What’s your plan?
AriLykaios,@JoeBiden Like the H1N1 Pandemic Plan?
Emanuel57438893,@JoeBiden https://t.co/04qzJL9yt1
CrewsonRanda,@JoeBiden Wait .... are you still on this?  Our testing is fine.  I'm out in the boonies and have been tested twice… https://t.co/mvRwTZjNHm
Brandielpie,@JoeBiden Apparently Trump is too busy discussing Nuclear Proliferation with Putin and doesn't have time for the co… https://t.co/VmFS6IPEuJ
pietpietblm1,@JoeBiden Obviously!
Emanuel57438893,@JoeBiden https://t.co/FQ7nPUiuMd
PopVultureCult1,@JoeBiden Ok. What's your plan then?
FunTimeFred1,@JoeBiden We need someone who knows where they are when they get up to speak.
BruceMi10213461,"@JoeBiden Write your own!! Testing must be done to everyone at the same time in order to get this under control , common sense!"
thhmblhstlshw,@JoeBiden Shots fired!
sallyshafer6,@JoeBiden We need Medicare for all!!!!!
Gabber333333333,@JoeBiden https://t.co/KtVL4KhvM0
JimBeach526,"@JoeBiden Wah, Wah, Wah. He’s doing his job and your daily dribble stating otherwise is just childish. You’re feebl… https://t.co/viVfraeOEs"
duanedad,@JoeBiden We need our legislature to do it's job because clearly the president won't do his
Trump73373360,@JoeBiden https://t.co/XatV2m6FJx
dongallo220,@JoeBiden defit #TrumpVirus
ktmlawrence,@JoeBiden Eat it!! Stop using fear to try and get elected you feckless old man!!!!
MichaelMacguir2,@JoeBiden https://t.co/AOVcdKcrrX
stevenmoro3,"@JoeBiden Joe, stop being the mouth piece, of the leftist socialist reform. I know deep down, you don’t truly belie… https://t.co/ygLOaxRgq7"
Th3Dutchman1,"@JoeBiden He has never done a day of honest work in his life, not gonna start now"
macedonianking3,@JoeBiden Our testing program is pretty decent tho
FrankMessala,"@JoeBiden And lastly, we need you back in the basement."
Aprapl,@JoeBiden We deserve to know which government officials and members of the media that have taken hydroxychloroquine. #MakeHCQOTC
frankv130,@JoeBiden Ridin with Biden! You tell em Joe!
democrats_my,"@JoeBiden What you really ment - We need an effective, coordinated nationwide population tracing program. We need a… https://t.co/gmHyI0UNKP"
yoPULPFRICTION,"@JoeBiden Just say he can’t do it, but you could. And will."
pricklefingers,"@JoeBiden Blah, blah, blah. You send this same tweet once a week, your caregivers  need to  take your phone away."
darbonnjohn,@JoeBiden Medicare for All? We need to get rid of the DNC.
RyanSchock1,@JoeBiden we need you to shut your mouth
shapes221,@JoeBiden Trump2020
rigby_sboss,"@JoeBiden @mydoggyruss Yeah, good luck with that! https://t.co/4RRxxq8uu1"
KingVolfe,@JoeBiden I fuckin' hate Joe Biden  #nevertRUMP
Lisabcajunlady,@JoeBiden Which he is doing  While DEMOCRATS align with anarchist.  This new radical progressive left socialist par… https://t.co/bFwfEFdpOY
2_manycats,"@JoeBiden Not going to happen, we need you Joe."
mktsutherland,"@JoeBiden Please , can’t we start a shadow government, January is such a long time away"
dixiefortrump,@JoeBiden The liberal left is all about control!! They want a big nanny state government because they have to contr… https://t.co/os0SuFpS7r
LisaRitz4trump,@JoeBiden I am scared to death if you get elected who’s going to protect me and my grandchildren and my children do… https://t.co/7WPTPIyLqw
TrevorQMorgan,@JoeBiden How about a debate ?
TheStallion6464,@JoeBiden We need Joe Biden to put his binky back in his mouth.
Colleen20869104,@JoeBiden https://t.co/TDawwU4HAj
GRAILKNIGHT1,"@JoeBiden Hang on a minute, isn't the country that takes on the mantle of The Leader Of The Free World, logically b… https://t.co/k9pWiB9ueG"
manalbattal,"@JoeBiden Election campaigns begin with criticizing the opponent and the status quo , It seems to me that you need… https://t.co/Pi3xyVfche"
TheRealStuart_,"@JoeBiden We need a mandatory Nationwide #ShelterInPlace for 6 weeks. Then, we can ALL get back to school, work, an… https://t.co/FkGtvLAmDU"
Stephen93221074,@JoeBiden Neither presidential candidate is capable of doing this job. Let’s reject this insane choice provided by… https://t.co/jz3R1LRQ0F
Colleen20869104,@JoeBiden https://t.co/gKX0b0WG7B
wdking,"@JoeBiden Under @realDonaldTrump inept leadership Americans are not unable to travel to Canada, Mexico, Europe and many other places."
KPGreenwald,@JoeBiden We needed this months ago. When can you start?
Sonya007,@JoeBiden This president hasn't done his job in 3-1/2 years. We need a president who will. #GoJoe2020
LisaRitz4trump,@JoeBiden The president is doing his job and he’s not even getting paid to do it
catsden234,@JoeBiden But sadly we all know he won't
douglaskarr,@JoeBiden Oops. https://t.co/vN8wguZKtC
TylerDi22391128,@JoeBiden Get off the twitter  and try to campaign  for someone else
jackie13911256,@JoeBiden https://t.co/Siosc7w7Eo
phd95,"@JoeBiden We need to know what your fascination is with young females and your need to molest them in public.  ""I'm… https://t.co/oJaX7QFxYf"
LaveneSweat,"@JoeBiden we need you to stay in your basement aand let a real president do is job, donald trump is awesome"
Robb90997767,@JoeBiden Sick of the lot of them https://t.co/iuU0jOO0oF
thefirstfuture,@JoeBiden https://t.co/ePxigjSNL0
RDMC69000832,"@JoeBiden Mr. Biden, if you want to win this election, please don't choose Kamala Harris as your running mate. Whoe… https://t.co/1GYWq46KJe"
drpot89,"@JoeBiden Here's your ""comprehensive plan"":   #MedicareForAll"
007willreturn,@JoeBiden We also need citizens who are going to cooperate with science and guidelines - there’s no way we will get… https://t.co/boTiACqA1w
mia2san,@JoeBiden You are the man who understands science and not spreading propaganda unlike #TraitorTrump. We need you… https://t.co/z0xANLNAvf
lindastroope,@JoeBiden We need all those things. But most of all we need him GONE!
Patrick41994305,@JoeBiden https://t.co/35t09SEYYp
Robb90997767,@JoeBiden Robb all of u https://t.co/MmgWWnfrjU
clueless1deux,@JoeBiden https://t.co/GNhA2DaaIu
Thank_You_45,@JoeBiden You GUTTED the system sir!!  YOU! You were in charge of the H1N1 response and you left the system empty!… https://t.co/TqAa4VdZhB
MrBillSD,"@JoeBiden If you're saying that, what you're really saying is #Fauci, the #CDC and #FDA are NOT DOING their job 🤔 https://t.co/j4N1b6CG1V"
DobbyMiller2020,"@JoeBiden It's called Herd Immunity!   Testing is a waste of time and resources, and overwhelms healthcare workers!… https://t.co/jjIkbM6V3o"
Robb90997767,@JoeBiden https://t.co/v2BTtDTp0J
RealTruth05,"@JoeBiden common sense to most...thank you, Joe! Unfortunately, the GOP has a real lack of common sense which is wh… https://t.co/JttgVVjc6X"
hijv,@JoeBiden We need protestors to stop spreading spreading the virus and rioting!
thefirstfuture,@JoeBiden TRUMP 2020 https://t.co/wQqDsOvWer
Squirrelpower99,@JoeBiden CCP also took this opportunity to expand their rights and prestige in the world.  The world must destroy… https://t.co/z8MKbbRejl
Robb90997767,@JoeBiden Hes robb the American people for years https://t.co/3ghwj86Gec
TracyJo85449216,"@JoeBiden also, thanks to Trump, US leads World in testing numbers...no thx to empty pantry and supplies left by obama-biden admin"
TheRealSlamurai,@JoeBiden We need an other president to do his job.
LLM14086755,@JoeBiden What president?
erichards24,"@JoeBiden @TheSWPrincess Hey Joe, can you come up with something better than ""Build back better""? It doesn't sound very inspiring."
countesskush,"@JoeBiden Ok let’s just calm down. First of all, who wrote this tweet?"
JohnZander17,@JoeBiden https://t.co/4zRAjpOOiK
LeadersLead_Inc,"@JoeBiden A text said Trump is raised a billion dollars. With all the millions he’s giving these corporations, has… https://t.co/k8iZZ1LYkV"
Gary85745586,@JoeBiden We need the democrats to quit bitching and go to work helping instead of hindering.
Stefild,@JoeBiden Go back to the basement Joe https://t.co/UjC4wPsFp2
Squirrelpower99,@JoeBiden The P4 Virus Manufacturing Research Institute of CCP will produce more viruses as biological and chemical… https://t.co/zWSPWToByz
thefirstfuture,@JoeBiden Why the Democrats really hate TRUMP 2020 https://t.co/uPLDfzkmMJ
Hector72380636,@JoeBiden #DefendThePolice https://t.co/RKqSMONcyP
Heretical18,@JoeBiden I guess we only need to get another 56 million or so cases to reach yours and Obama’s all time record.
Nasirea1,@JoeBiden A tracing program? Like the nazis had with the SS? No thanks. The virus IS under control. We don't need that nazi stuff...
FinalJudgment20,@JoeBiden Sounds like a #JoeBidenJob!  #DonTheCon and his clan of #COVIDIOTS are criminally incompetent in safeguar… https://t.co/UQPzho3l8a
Mamaof212154947,"@JoeBiden It's all good, say bye bye to big Pharma!  Kodak is coming!"
MathewGauthier,@JoeBiden Why are you afraid to take questions from the press? It’s a simple question...
dookiefaceobama,"@JoeBiden Mall medical professionals have a good amount of PPE (fact), and no one in the world is doing more testing than the US. #Trump2020"
fdmazny,"@JoeBiden Tracing program??   Well, since you are into the Govt spying on its citizens, of course you’re for tracing their whereabouts"
GemOfRock,@JoeBiden Saa as fee reopening. Ppl need to agree to follow public health orders. Protect the American people. #PublicHealth
KeyzRAP32,@JoeBiden Trash
Luckyangeltoo,@JoeBiden Or let him golf while you do his job.  This is crazy.
joeordinary51,@JoeBiden He tweeted while eating soft serve in a black SUV.
1948White,@JoeBiden He never had any plans to do that.
Mln9358Nichols,@JoeBiden I don’t need tested and I SURE as hell don’t need to be traced!!!!
anderson_boys,@JoeBiden https://t.co/70omgurh8V
KRobertDarby1,@JoeBiden We already have that. I heard you will change NAFTA on your 1st day in office..lol. Sit down Joe. You need medication
traders201247,@JoeBiden Creepy Joe you've been in the government for 47 years and have accomplished very little other than gettin… https://t.co/aiupwhQ61H
SuperNaturalNo7,@JoeBiden Tell us the plan so it can be implemented!!!  Don’t forget you promised a cure for cancer too.
ShadeBeautyblog,"@JoeBiden Sir, We’re waiting on you and Kamala  😉"
Shane72576280,"@JoeBiden He’s up to the task, he discovered the cure-HCQ and zinc. Soon people will have the cure despite efforts against it🥳"
Karcudaso,"@JoeBiden I agree, Joe. We need all of this. We also need the $600 unemployment protections keeping millions of Ame… https://t.co/3dLeqUAYly"
james_selman,@JoeBiden Nothing you have proposed has not already been implemented by Trump!! Stop plagiarizing his policy and co… https://t.co/jK2ClN9FJZ
SI19466925,@JoeBiden Any specifics on how YOU would do it? It may help him...
whiteQkrolik,@JoeBiden Why don’t you do the same for the annual flu?
TrathJohn,@JoeBiden Bidementia awareness day
dixiefortrump,@JoeBiden We need to allow real doctors on the frontline to be able to do their jobs!! I’m sitting here right now w… https://t.co/XJbFmSDvWX
success1447,"@JoeBiden Do you have a comprehensive plan today?  If you do, you have an obligation to reveal it to America NOW!  LIVES are at stake!"
milesaway58,@JoeBiden On #DayOne of your presidency can you please have this monstrosity of a fence removed and return the WH t… https://t.co/tvPbbe6JwA
HDepayne,@JoeBiden #hydroxycholoroquine
MangledBall,"@JoeBiden Joe, we need YOU to do the job, counting the days."
elacs,"@JoeBiden No, we need #PresidentBiden"
Ngqah5,@JoeBiden We need this candidate to stop undermining the president  Thanks
wonder__dude,@JoeBiden @joncoopertweets We need Medicare for all joe
Morticia_PNW,@JoeBiden @TheDemCoalition We need Medicare 4 All. We need to legalize cannabis. We need you to be able to read a r… https://t.co/eX4X5KtYrY
3JzvBRgxMHN8iAu,"@JoeBiden If it's coordinated nationwide like the riots occupied /ying the cities, that's effective. You should acknowledge you did that"
RickPhill,@JoeBiden https://t.co/V3qyrYdHA3
LisaRitz4trump,@JoeBiden Wake up sleepy Joe Donald J Trump already solved all of our problems the virus is under control #Trump2020 #BacktheBlue
thefirstfuture,@JoeBiden https://t.co/d5Wn5YZkSR
trapshooter12,@JoeBiden https://t.co/uzVZrLpQd0
jrosen0711,@JoeBiden We need unemployment extended a little longer. And the Rich get richer.
BHmarket8,@JoeBiden Shut up pls! Weak ass old man!
acosta_trish,@JoeBiden Love you Joe!!!  #IstandwithJoeBiden
trapshooter12,@JoeBiden https://t.co/E8MVCeXqT1
HPhukee,@JoeBiden Why weren’t you telling Bill DeBlazio this when he wouldn’t allow contact tracers to ask people if they’d been to protests?
GBrown690,"@JoeBiden Our President has been doing all that, and much more. Thank God he’s President and not you or crooked Hillary."
yosemite_2017,"@JoeBiden Please do NOT debate Trump, unless he releases his taxes, No taxes, No debate. #JoeBidenJob… https://t.co/oOUIYIZsvq"
lyles_katrina,@JoeBiden Incapable of doing so. When you and Obama left... https://t.co/kKKmk9xdlQ
PHILLYSKEPTIC,@JoeBiden @realDonaldTrump is very busy wishing covid away.... https://t.co/SK0wYymfuY
RonaldFraley3,@JoeBiden We need free masks for everyone. Not 35 bucks for 50 at Walmart. They are ripping us off. Just some old guy from Michigan.
CR_HIATT,"@JoeBiden So far, every suggestion you've made toward how you'd handle the virus and testing, the Trump administrat… https://t.co/ZH7lkNLt9m"
Michael83894389,"@JoeBiden We need a President badly! You can't sit down fast enough! Ready Nov 4? We'll make exception, this time!"
ikea33477569,@JoeBiden https://t.co/MzGDwjbk2K
Weelr81,"@JoeBiden That is the job of the governors. But you don't know this. In 48 years of public service, you still haven't figured it out."
mmmm_zzzzzz,@JoeBiden Well I'm going to vote Trump because I'm sure he has a comprehensive to get covid under control. Unfortun… https://t.co/8yooMdpaqP
SPTCO83,@JoeBiden We need the Numb Nutz President to keep losing his mind and talking crazy! Its working in the Democratic… https://t.co/YBhiPcS4qG
DonTheSEODude,@JoeBiden The country has plenty of PPE being made and you are a liar.    https://t.co/tJdkM2HkRp
bass_hm,@JoeBiden https://t.co/cTBxb1Y4QW
stoneweasle,@JoeBiden We need someone who has his own thoughts not someone reading and sending someone else's tweets.
canadia01046825,"@JoeBiden Go back to the basement Joe, no one wants you tracing them"
JSullivanCoach,@JoeBiden I sent a few more dollars to Biden campaign- you cheapos out there: step up! LOL.
BarryBogage,@JoeBiden We need a new president.
Frances68985130,@JoeBiden @aldemocrats 🇺🇸✊😷 Go Joe Biden
thefirstfuture,@JoeBiden https://t.co/0pEP1qRInV
RossStivison,"@JoeBiden Thank you Joe, agreed!  It’s been 4 years and we know #thinskintrump won’t do his job, so a new president… https://t.co/MAT2vP7iC1"
Jim61799827,@JoeBiden Democrats need to restore protections to the citizens in the cities they run.  Democratic run cities need… https://t.co/6yUiaSsxPg
AnarchoSarcasm,@JoeBiden We need #MedicareForAll.
thefirstfuture,@JoeBiden We know how the Democrats are. TRUMP 2020 https://t.co/J3GDBMcFMI
smokinsuzy,@JoeBiden We need @sleepyjoe to speak for himself! I watched in disgust as he was literally hand held going to his car.
chator13,@JoeBiden Active 🤣🤣🤣 https://t.co/lVO92JM2TM
7r0uble,"@JoeBiden So (hold on, folks, let's hear him out) what's your plan @JoeBiden ?"
Ditzzeechick,"@JoeBiden We need this ""president"" and we use that term very, very loosely to disappear as quickly as possible  You… https://t.co/geeAmdS2EB"
outoftime62,@JoeBiden Sweet Jesus Joe! Where have you been? Oh yeah....your basement. We already have a great president doing all of this #Trump2020
beaver6688,@JoeBiden 🤮🤮😤😤😤🤫🤫🤫
MattRattfmj,@JoeBiden Basement boy
BeenIn57States,"@JoeBiden Dementia Joe, do you remember holding a rally in Kansas City on March 7? Do you remember opposing the Chi… https://t.co/X8vR8be58K"
LoriWag41158236,"@JoeBiden He won’t, so we’re counting on you, Joe. It is shameful thousands more will die before the election."
mmellville1,@JoeBiden So throwing money at it isn’t working?? Whatttt!
America_1st4ALL,@JoeBiden You scared to debate Trump? You are afraid to show what little you have to offer America and Trump will s… https://t.co/uwUmkOx5aE
The_Mike_Logan,@JoeBiden He's never had a real job soooo
FPaulCouture1,@JoeBiden NO JOE!!!  We need him OUT.... so you can go in &amp; do yours!!!!
AliN68784404,@JoeBiden Mr Biden the whole world knew that Trump miserably failed to handle this pandemic.The deaths of more than… https://t.co/8vCwbZd2yN
DirtyArnie,@JoeBiden Comprehensive is Libtard for 🐂💩
KonservativeF,@JoeBiden Where was joe when obuma ceased testing for H1N1 during the outbreak in 2009? Weak pathetic loser!!  #Trump2020 🖒
maurice_dichard,@JoeBiden Get out of your basement. Everything you mention is being done or in place.
schiff01,"@JoeBiden VP choice 1st priority needs to be about winning, then it's about governing.  Please don't make the mista… https://t.co/7ORwz7alIz"
EbBahram,"@JoeBiden of course we need all of them, and Trump will do his job."
GMawutsa,@JoeBiden President Trump is doing a very good job. He doesnt hide in a basement somewhere thats why he will be re-elected
stephen_of_borg,"@JoeBiden Relax the President is on this. He’s got hydroxychloroquine, alien DNA &amp; demon sperm. Right Q people? BTW… https://t.co/ridEhwaCOh"
a_mojeeb,@JoeBiden Trump failed to confront Corona
ban_hammered,@JoeBiden https://t.co/pio55u9oZU
illpolitic,"@JoeBiden Joe, we need you to do his job!"
sisrum,@JoeBiden We need for him to go and for you to take over.  He doesn’t care about getting it under control.
DerrikStratton,@JoeBiden Because you’ve done such a great job in the past. 😂😂😂 https://t.co/qq0N9MNw1v
kann_2121,@JoeBiden Guess you didn’t turn into his presser yesterday.
Bolt8Thunder,@JoeBiden https://t.co/cDuR0373t8
Iowa421,@JoeBiden We need a president! not a self indulged toddler
RealAMPeople,"@JoeBiden He provided PPE, Ventilators, mobile hospitals, created a fast paced vaccination program. guidelines and… https://t.co/aNd0KpWDEU"
fusion_allusion,@JoeBiden Joe can't stand up to answer questions from the press but the DNC wants me to believe he can stand up to… https://t.co/2nbmWNGXfh
tishntn,@JoeBiden https://t.co/qya3KvJ8A7
AMF2440,@JoeBiden you are months behind.....just stop.
gbarzizza,@JoeBiden We need Single Payer healthcare!
jamesestill,@JoeBiden We need A president that will do their job. Donald Trump clearly has no interest in doing his job. That is why I will #VoteForJoe.
kberki,@JoeBiden We need to start planning our vaccine distribution process so it doesn’t become the shit show testing is.
win_trump2020,"@JoeBiden So now you want to trace women in addition to feeling them up, eh, Joe?  #MAGA2020"
mattmufc4,@JoeBiden https://t.co/4Vbb49YMjZ weekend at bidens 🤣🤣🤣 https://t.co/el0HTxkMAI
idotennis4fun,@JoeBiden We need the national production act to increase production on the machines that give results same day or we can't open schools
AgentCoopr702,@JoeBiden That's what he's doing despite your administration leaving us with nothing.
Bob34922977,@JoeBiden Trump does More in 1 Hour then you do in a week!
nigelj08223325,@JoeBiden @JoeBiden  and we NEED one more thing Get rid of @realDonaldTrump now
tishntn,@JoeBiden Nobody believes demo political bs concerning covid 19 anymore. We now know you let AMERICANS die by keepi… https://t.co/demQm6aaiV
Dragon9382,"@JoeBiden If you would crawl out of your bubble, you would see that the entire country is testing.  The back log is… https://t.co/YsTZSX9LKH"
SBCress,@JoeBiden He doesn’t know how.  He only plays one on tv.  #personwomanmancameratv
Manolo9927,@JoeBiden VP Biden.  What did you do for ovah 40 years. ?
Gloria72246470,@JoeBiden We also needed the n95 masks your boss depleted. https://t.co/Kw2VSCEcpT
itmatters2me,@JoeBiden @POTUS has done all that. Try to keep up
Fedupbullshit,@JoeBiden No we don’t need our freedoms taken away  This is nothing more than fear mongering at its best the number… https://t.co/eenhbOZD60
Bdowns831,"@JoeBiden Joe or whoever is tweeting for you, we are past that point. We simply need a VACCINE TURD!"
haar_dirk,@JoeBiden We need another one to be POTUS. Fast.
gabbijack,@JoeBiden Hi Mr. Vice President!  You are our hope for America. Please be careful! Trump has goons all over!  May G… https://t.co/wO6i7PmiMq
GOPforJoe,@JoeBiden We need you to do his job for him.
PeteBenvenuti,@JoeBiden What have you been doing for the last 30 years ???You are going to lose the election Joe. Hate to break i… https://t.co/MPF4TfHkOA
izzydrake,@JoeBiden We need you!
DGoeRob,"@JoeBiden Joe if Trump is such a horrible President, why are all of your ideas for COVID &amp; the riots, exactly what… https://t.co/slt7RRCk3p"
MsMariaT,"@JoeBiden My family is excited for your presidency, Joe. We know things won’t happen over night, but we at least kn… https://t.co/XnmOBj7pJv"
mkholland_,"@JoeBiden As a teacher who is expected to return to school in a few weeks, I would like some PPE, too, please. And… https://t.co/jB3CrAjT41"
pppelauria,@JoeBiden @DeeLoralei @realDonaldTrump is an EPIC FAILURE at this pandemic and EVERY OTHER ISSUE.
hasanAlomar79,@JoeBiden https://t.co/1VWfEMzQlk
