title,dept,salary,race,gender,hire_date
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Black,Male,2003-06-23
POLICE OFFICER,Houston Police Department-HPD,45279.0,Hispanic,Female,2013-10-14
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,Hispanic,Female,2013-01-05
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Hispanic,Male,2008-05-19
SENIOR PLAN ANALYST,Public Works & Engineering-PWE,54600.0,Black,Male,2009-08-10
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,2007-06-25
PLANT OPERATOR,Public Works & Engineering-PWE,39478.0,White,Male,2014-09-22
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,White,Male,2014-12-22
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Male,2007-06-25
RECORDS TECHNICIAN,Public Works & Engineering-PWE,28600.0,Black,Female,2016-04-11
ELECTRICIAN,Public Works & Engineering-PWE,44096.0,White,Male,2016-04-04
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,1999-02-22
SENIOR INSPECTOR,Public Works & Engineering-PWE,60133.0,Black,Female,1994-02-02
MICROBIOLOGIST III,Health & Human Services,52072.0,White,Male,2012-02-20
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,2001-05-29
CHEMIST II,Public Works & Engineering-PWE,51168.0,Asian,Female,2003-09-15
WATER SERVICE INSPECTOR I,Public Works & Engineering-PWE,32240.0,Black,Male,2013-08-26
CUSTOMER SERVICE REPRESENTATIVE II,Public Works & Engineering-PWE,33488.0,Hispanic,Female,2015-01-20
FIRE FIGHTER,Houston Fire Department (HFD),61921.0,White,Male,2010-06-14
POLICE OFFICER,Houston Police Department-HPD,45279.0,Black,Male,2013-10-14
POLICE OFFICER,Houston Police Department-HPD,50621.0,Asian,Male,2010-05-24
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,2003-09-15
PUBLIC WORKS MAINTENANCE SECTION CHIEF,Public Works & Engineering-PWE,53851.0,Black,Male,1991-07-16
POLICE CAPTAIN,Houston Police Department-HPD,104455.0,White,Male,1983-02-07
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,2009-01-20
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,Black,Male,2007-11-05
JAIL ATTENDANT,Houston Police Department-HPD,36317.0,Black,Female,2008-11-10
DATA ENTRY OPERATOR,Houston Police Department-HPD,27893.0,Black,Male,2006-07-31
CUSTOMER SERVICE REPRESENTATIVE III,Public Works & Engineering-PWE,42266.0,Black,Male,2004-12-20
MOBILITY SERVICE OFFICER,Houston Police Department-HPD,44970.0,Black,Female,1985-04-01
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,White,Male,1986-03-03
PARK MAINTENANCE AIDE,Parks & Recreation,,Black,Male,2015-08-24
UTILITY WORKER,Public Works & Engineering-PWE,35797.0,Black,Male,2003-12-15
DIVISION MANAGER,Houston Airport System (HAS),88003.0,White,Female,1996-11-04
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,White,Male,2006-02-06
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,1993-11-08
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,2004-03-22
SENIOR PUBLIC HEALTH INVESTIGATOR,Health & Human Services,38189.0,Black,Female,2011-02-14
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,White,Male,2000-11-06
PUBLIC HEALTH NURSE IV,Health & Human Services,76246.0,Black,Female,1992-07-20
ADMINISTRATIVE ASSISTANT,Public Works & Engineering-PWE,40352.0,Hispanic,Female,1991-05-13
POLICE SERGEANT,Houston Police Department-HPD,,White,Male,1983-10-03
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1981-09-21
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,1994-08-29
UTILITY MECHANIC,Public Works & Engineering-PWE,30597.0,Hispanic,Male,2016-05-09
TECHNICAL HARDWARE ANALYST I,Public Works & Engineering-PWE,39666.0,Black,Female,2016-04-11
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,2003-09-15
CHIEF COMMUNICATION OFFICER,Houston Fire Department (HFD),89590.0,White,Male,1978-03-27
CUSTOMER SERVICE CLERK,Health & Human Services,30410.0,Hispanic,Female,1992-10-06
CLINIC ASSISTANT,Health & Human Services,30597.0,Black,Female,2006-07-11
EQUIPMENT OPERATOR I,Houston Airport System (HAS),27851.0,White,Male,2006-10-16
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1985-05-28
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,2003-04-21
CAR ATTENDANT,Houston Police Department-HPD,24960.0,Black,Female,2016-01-19
POLICE OFFICER,Houston Police Department-HPD,47650.0,Black,Male,2011-05-23
SENIOR ACCOUNT CLERK,Health & Human Services,34299.0,Hispanic,Female,1993-05-24
COMMUNITY LIAISON,Health & Human Services,49379.0,Black,Female,2004-10-04
TECHNICAL HARDWARE ANALYST II,Public Works & Engineering-PWE,51605.0,Black,Male,2005-06-27
EQUIPMENT WORKER,Public Works & Engineering-PWE,32968.0,Black,Male,2007-01-22
LABORER,Houston Airport System (HAS),26125.0,Hispanic,Female,2000-12-27
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Female,1994-08-29
POLICE OFFICER,Houston Police Department-HPD,60347.0,Black,Male,2003-06-09
CUSTOMER SERVICE REPRESENTATIVE III,Public Works & Engineering-PWE,35485.0,Black,Female,2005-09-17
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,2003-09-15
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Black,Female,2016-02-22
COMMUNITY RELATIONS SPECIALIST,Health & Human Services,31470.0,Black,Female,1998-06-24
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Female,2005-07-11
FIRE FIGHTER TRAINEE,Houston Fire Department (HFD),28024.0,,Male,2016-03-28
GRADUATE ENGINEER,Public Works & Engineering-PWE,63461.0,White,Male,2007-11-13
POLICE LIEUTENANT,Houston Police Department-HPD,91181.0,Asian,Female,1989-12-11
ADMINISTRATIVE COORDINATOR,Public Works & Engineering-PWE,70780.0,Black,Female,1989-07-19
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Asian,Male,1993-08-30
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Hispanic,Male,2001-06-04
JAIL ATTENDANT,Houston Police Department-HPD,35318.0,Black,Female,2008-04-21
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,White,Male,2015-07-20
POLICE OFFICER,Houston Police Department-HPD,50621.0,Hispanic,Male,2013-07-28
CUSTOMER SERVICE CLERK,Health & Human Services,29245.0,Hispanic,Female,2016-03-28
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,1999-02-22
PUBLIC WORKS MAINTENANCE MANAGER,Public Works & Engineering-PWE,83744.0,Black,Male,1989-06-26
ADMINISTRATIVE COORDINATOR,Parks & Recreation,56826.0,Black,Female,2008-04-21
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,White,Male,1989-06-05
LABORER,Public Works & Engineering-PWE,26104.0,Hispanic,Male,2016-03-28
TECHNICAL HARDWARE ANALYST III,Public Works & Engineering-PWE,59613.0,White,Male,2009-08-24
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1985-03-04
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1989-10-05
IT LEAD - CLIENT SUPPORT,Houston Airport System (HAS),80002.0,,Male,2016-02-01
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,White,Male,2014-03-29
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,2006-09-11
DIVISION MANAGER,Public Works & Engineering-PWE,93089.0,White,Male,1983-11-07
CHEMIST IV,Public Works & Engineering-PWE,64432.0,Asian,Male,2006-01-30
LICENSED VOCATIONAL NURSE,Health & Human Services,49400.0,,Female,2016-02-08
CUSTOMER SERVICE SECTION CHIEF,Public Works & Engineering-PWE,53726.0,White,Female,2008-09-24
POLICE LIEUTENANT,Houston Police Department-HPD,,White,Male,1980-06-16
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1985-09-03
SENIOR POLICE OFFICER,Houston Police Department-HPD,,Black,Male,1985-01-07
PLAN ANALYST,Public Works & Engineering-PWE,34029.0,White,Female,2008-09-08
BREASTFEEDING PEER COUNSELOR,Health & Human Services,28600.0,Hispanic,Female,2015-11-09
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,1995-01-30
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Hispanic,Male,2000-02-21
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1982-09-20
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Female,1991-04-11
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,1999-02-22
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,Hispanic,Male,2012-09-04
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,1992-04-27
UTILITY WORKER,Public Works & Engineering-PWE,30992.0,Black,Male,2007-12-31
MAINTENANCE MECHANIC III,Parks & Recreation,35027.0,Black,Male,2013-05-28
POLICE OFFICER,Houston Police Department-HPD,60347.0,Hispanic,Female,2003-06-09
DEPUTY ASSISTANT DIRECTOR (EX LVL),Houston Airport System (HAS),110686.0,Black,Female,2011-11-07
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1981-11-02
FIELD SUPERVISOR,Public Works & Engineering-PWE,45157.0,Black,Female,1996-01-20
POLICE OFFICER,Houston Police Department-HPD,52514.0,Black,Female,2006-05-26
POLICE OFFICER,Houston Police Department-HPD,43443.0,White,Male,2014-06-09
FIRE FIGHTER TRAINEE,Houston Fire Department (HFD),28024.0,Black,Male,2015-10-26
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Female,1999-02-22
SENIOR UTILITY MECHANIC,Public Works & Engineering-PWE,36130.0,Black,Male,2008-07-14
POLICE OFFICER,Houston Police Department-HPD,47650.0,White,Male,2011-12-05
CAPTAIN,Houston Fire Department (HFD),66523.0,Hispanic,Male,2000-11-27
AIRPORT OPERATIONS SPECIALIST,Houston Airport System (HAS),43826.0,Black,Male,2005-08-15
POLICE OFFICER,Houston Police Department-HPD,43443.0,Hispanic,Female,2014-06-09
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,White,Male,1986-03-03
SENIOR PLAN ANALYST,Public Works & Engineering-PWE,54600.0,White,Male,2009-11-30
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,White,Male,1979-11-05
WATER SERVICE INSPECTOR I,Public Works & Engineering-PWE,34861.0,Black,Male,2002-09-12
MICROBIOLOGIST III,Public Works & Engineering-PWE,56992.0,Black,Female,2007-10-22
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,White,Male,2013-10-12
POLICE OFFICER,Houston Police Department-HPD,50621.0,White,Male,2010-05-24
POLICE OFFICER,Houston Police Department-HPD,47650.0,Black,Male,2011-05-23
SEMI-SKILLED LABORER,Parks & Recreation,26125.0,Hispanic,Male,2014-11-24
SANITARIAN I,Health & Human Services,38709.0,Hispanic,Female,2015-03-30
UTILITY WORKER,Public Works & Engineering-PWE,34320.0,Black,Male,2007-12-03
JAIL ATTENDANT,Houston Police Department-HPD,35838.0,Black,Male,2008-11-17
MANAGEMENT ANALYST IV,Health & Human Services,60496.0,Black,Male,2006-11-27
POLICE OFFICER,Houston Police Department-HPD,55461.0,Hispanic,Male,2007-05-07
SUPERVISING ENGINEER,Public Works & Engineering-PWE,90716.0,White,Male,2009-03-09
PROJECT MANAGER,Public Works & Engineering-PWE,55695.0,Asian,Male,2012-07-23
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Hispanic,Male,2003-11-10
POLICE OFFICER,Houston Police Department-HPD,60347.0,Black,Female,2005-07-11
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Black,Male,2001-07-09
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1986-05-07
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,White,Female,2002-06-03
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Female,1995-04-10
ADMINISTRATIVE ASSOCIATE,Public Works & Engineering-PWE,40851.0,Black,Female,1991-12-02
CAPTAIN,Houston Fire Department (HFD),,White,Male,1981-09-08
POLICE TRAINEE,Houston Police Department-HPD,42000.0,,Male,2016-02-08
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,White,Male,1998-03-16
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Black,Female,1998-12-19
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,Hispanic,Male,2007-05-21
SENIOR PLANT OPERATOR,Public Works & Engineering-PWE,45926.0,Black,Male,2002-10-28
SENIOR INSPECTOR,Public Works & Engineering-PWE,56576.0,White,Male,2012-10-15
TECHNICAL HARDWARE ANALYST III,Public Works & Engineering-PWE,58157.0,White,Male,1992-04-01
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Female,2007-05-07
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,2007-10-01
INSPECTOR,Public Works & Engineering-PWE,51563.0,Black,Female,2015-10-12
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,2010-06-14
CUSTOMER SERVICE SECTION CHIEF,Public Works & Engineering-PWE,52957.0,Black,Female,2002-04-01
EQUIPMENT OPERATOR II,Houston Airport System (HAS),37003.0,Asian,Male,2003-09-15
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Hispanic,Male,2002-06-03
SENIOR POLICE OFFICER,Houston Police Department-HPD,,White,Male,1978-06-05
ENVIRONMENTAL INVESTIGATOR II,Public Works & Engineering-PWE,40622.0,White,Male,2015-12-07
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Female,1982-11-15
FIELD SUPERVISOR,Parks & Recreation,36920.0,Hispanic,Male,2004-03-01
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,Black,Male,1996-11-18
SENIOR STAFF ANALYST,Public Works & Engineering-PWE,105503.0,White,Female,1991-08-05
PARK MAINTENANCE AIDE,Parks & Recreation,,Black,Male,2003-11-25
STAFF PSYCHOLOGIST,Houston Police Department-HPD,99953.0,White,Female,2012-05-01
PROJECT MANAGER,Public Works & Engineering-PWE,63338.0,Hispanic,Male,2005-08-08
SENIOR POLICE OFFICER,Houston Police Department-HPD,,White,Male,1985-09-16
SUPERVISING ENGINEER,Public Works & Engineering-PWE,90715.0,White,Female,2012-12-31
POLICE SERGEANT,Houston Police Department-HPD,,White,Male,1971-08-23
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Male,2005-07-11
CUSTOMER SERVICE REPRESENTATIVE II,Public Works & Engineering-PWE,33488.0,Black,Female,2008-01-28
JAIL ATTENDANT,Houston Police Department-HPD,35318.0,White,Female,2014-05-12
SPECIAL SERVICE REPRESENTATIVE,Houston Airport System (HAS),35318.0,Hispanic,Male,2007-03-24
POLICE SERGEANT,Houston Police Department-HPD,74511.0,White,Male,2008-06-30
DEPUTY DIRECTOR (EXECUTIVE LEVEL),Houston Airport System (HAS),150416.0,Black,Female,2013-06-10
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,1984-04-02
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Asian,Male,2001-12-03
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Asian,Male,2014-09-27
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Female,2012-06-25
ADMINISTRATIVE ASSISTANT,Health & Human Services,45614.0,Black,Female,1991-09-24
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,2009-01-12
ENGINEER/OPERATOR,Houston Fire Department (HFD),63166.0,White,Male,1990-12-10
SENIOR POLICE OFFICER,Houston Police Department-HPD,61643.0,Hispanic,Male,2002-01-28
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1994-12-30
POLICE OFFICER,Houston Police Department-HPD,55461.0,Black,Male,2007-03-19
DATA ENTRY OPERATOR,Houston Police Department-HPD,29827.0,Black,Female,1996-07-22
LABORER,Houston Airport System (HAS),26125.0,Black,Female,2008-04-08
SENIOR INVENTORY MANAGEMENT CLERK,Public Works & Engineering-PWE,29765.0,White,Male,2003-09-02
SEMI-SKILLED LABORER,Parks & Recreation,29910.0,Hispanic,Male,1996-09-28
SEMI-SKILLED LABORER,Parks & Recreation,26125.0,Black,Male,2014-02-10
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,42000.0,Black,Male,2015-07-06
HUMAN RESOURCES ASSISTANT,Public Works & Engineering-PWE,32406.0,Black,Female,2014-12-08
CUSTOMER SERVICE CLERK,Health & Human Services,31387.0,Black,Female,1992-08-24
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,1986-03-03
SEMI-SKILLED LABORER,Public Works & Engineering-PWE,27373.0,Black,Female,2013-11-12
AQUATIC CENTER SUPERVISOR,Parks & Recreation,,Black,Male,2016-05-21
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Hispanic,Male,1997-05-27
FIRE FIGHTER,Houston Fire Department (HFD),61226.0,Hispanic,Male,1984-01-23
POLICE OFFICER,Houston Police Department-HPD,50621.0,Hispanic,Male,2010-05-24
PLANT OPERATOR TRAINEE,Public Works & Engineering-PWE,31158.0,Hispanic,Male,2015-11-09
SENIOR PROJECT MANAGER,Public Works & Engineering-PWE,84500.0,Hispanic,Male,2016-04-18
MOBILITY SERVICE OFFICER,Houston Police Department-HPD,41621.0,Black,Male,2008-01-14
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,White,Male,2015-03-16
CUSTOMER SERVICE CLERK,Health & Human Services,31803.0,Hispanic,Male,2002-08-14
FIRE FIGHTER,Houston Fire Department (HFD),57815.0,Hispanic,Male,2001-10-30
SENIOR PUBLIC HEALTH INVESTIGATOR,Health & Human Services,46010.0,Asian,Male,2002-12-23
RECREATION SPECIALIST,Parks & Recreation,28808.0,,Male,2016-02-29
SURVEILLANCE INVESTIGATOR-EPIDEMIOLOGY,Health & Human Services,47362.0,White,Male,2015-12-07
DIVISION MANAGER,Public Works & Engineering-PWE,95950.0,Asian,Female,2003-09-29
SENIOR CAPTAIN,Houston Fire Department (HFD),78355.0,Hispanic,Male,1998-01-12
POLICE OFFICER,Houston Police Department-HPD,45279.0,White,Male,2013-06-10
SENIOR DISPATCHER,Public Works & Engineering-PWE,29931.0,Black,Female,2011-08-22
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,1985-03-04
ADMINISTRATIVE ASSOCIATE,Public Works & Engineering-PWE,34757.0,Black,Female,2003-12-08
ADMINISTRATIVE ASSISTANT,Parks & Recreation,42640.0,Hispanic,Female,2006-08-28
SUPERINTENDENT,Parks & Recreation,57533.0,Black,Female,1994-10-31
DISTRICT CHIEF,Houston Fire Department (HFD),,Hispanic,Male,1975-10-13
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1993-03-08
POLICE SERGEANT,Houston Police Department-HPD,,Black,Male,1984-05-29
CUSTOMER SERVICE REPRESENTATIVE I,Public Works & Engineering-PWE,30347.0,Black,Female,2015-10-05
SENIOR POLICE SERVICE OFFICER,Houston Police Department-HPD,32261.0,Black,Female,1992-03-21
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Female,2012-06-25
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,1997-08-25
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,1990-04-02
HUMAN SERVICE PROGRAM MANAGER,Health & Human Services,63785.0,Black,Female,2009-03-09
GARDENER,Parks & Recreation,28205.0,Black,Male,2015-12-07
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,White,Male,2013-07-06
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1995-01-30
"FIRE FIGHTER,PROBATIONARY",Houston Fire Department (HFD),40170.0,Hispanic,Male,2015-03-16
POLICE OFFICER,Houston Police Department-HPD,60347.0,Hispanic,Male,2003-06-09
SUPERVISING ENGINEER,Public Works & Engineering-PWE,98752.0,White,Female,2006-08-07
EQUIPMENT WORKER,Public Works & Engineering-PWE,32968.0,Black,Female,2015-01-20
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,Hispanic,Male,2014-01-04
POLICE OFFICER,Houston Police Department-HPD,47650.0,White,Male,2012-04-16
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,2003-03-24
EQUIPMENT WORKER,Public Works & Engineering-PWE,34653.0,Black,Male,2015-05-26
FIRE FIGHTER,Houston Fire Department (HFD),45791.0,White,Male,2013-07-06
EQUIPMENT WORKER,Public Works & Engineering-PWE,32968.0,Black,Male,2016-01-19
POLICE OFFICER,Houston Police Department-HPD,47650.0,Hispanic,Male,2013-02-04
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,1993-08-30
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Male,2005-07-11
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Female,1995-04-10
CUSTOMER SERVICE REPRESENTATIVE III,Public Works & Engineering-PWE,36920.0,Hispanic,Male,2012-09-04
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,White,Male,1992-06-22
SENIOR POLICE OFFICER,Houston Police Department-HPD,,Hispanic,Male,1980-08-25
POLICE OFFICER,Houston Police Department-HPD,50621.0,Hispanic,Male,2010-05-24
SENIOR GIS TECHNICIAN,Public Works & Engineering-PWE,44866.0,Hispanic,Female,2009-08-10
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,1995-03-29
TECHNICAL HARDWARE ANALYST II,Public Works & Engineering-PWE,53581.0,Hispanic,Male,1993-11-09
POLICE OFFICER,Houston Police Department-HPD,43443.0,White,Male,2015-02-02
ACCOUNTANT ASSOCIATE,Houston Airport System (HAS),39229.0,Black,Female,1997-04-26
SENIOR OFFICE ASSISTANT,Houston Police Department-HPD,29890.0,Black,Female,2012-01-23
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,1991-10-08
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,2006-09-11
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,2001-10-30
REGULATORY INVESTIGATOR,Houston Airport System (HAS),33238.0,Hispanic,Male,1997-12-01
SEMI-SKILLED LABORER,Public Works & Engineering-PWE,34611.0,Asian,Male,1993-01-04
CUSTOMER SERVICE REPRESENTATIVE III,Houston Fire Department (HFD),41267.0,Hispanic,Female,2001-09-12
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,2007-05-07
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,1982-06-28
DWI TECHNICIAN,Houston Police Department-HPD,43035.0,Black,Male,2015-08-18
SENIOR OFFICE ASSISTANT,Houston Police Department-HPD,35152.0,Asian,Female,1989-02-22
POLICE TRAINEE,Houston Police Department-HPD,42000.0,,Male,2016-02-08
INSPECTOR,Houston Fire Department (HFD),70181.0,Hispanic,Male,1994-08-29
CAPTAIN,Houston Fire Department (HFD),70181.0,White,Male,1997-01-20
CAPTAIN,Houston Fire Department (HFD),66523.0,Black,Male,2003-01-07
EXECUTIVE ASSISTANT FIRE CHIEF,Houston Fire Department (HFD),130585.0,Black,Male,1990-04-02
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Female,1989-10-05
INSPECTOR,Houston Fire Department (HFD),66523.0,Hispanic,Female,2001-03-20
"POLICE OFFICER,PROBATIONARY",Houston Police Department-HPD,28169.0,White,Male,2015-05-26
FIELD SUPERVISOR,Public Works & Engineering-PWE,42182.0,Black,Male,2006-08-21
UTILITY WORKER,Public Works & Engineering-PWE,29557.0,Black,Male,2015-11-23
FIRE FIGHTER,Houston Fire Department (HFD),52644.0,White,Male,2007-10-08
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Black,Male,1998-08-31
SENIOR BUYER,Public Works & Engineering-PWE,48360.0,Black,Female,1985-08-05
DEPUTY DIRECTOR (EXECUTIVE LEVEL),Houston Police Department-HPD,163228.0,Asian,Male,1977-07-20
MAINTENANCE MECHANIC III,Houston Airport System (HAS),39125.0,Hispanic,Male,2016-04-11
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,Black,Male,2008-04-21
SENIOR POLICE OFFICER,Houston Police Department-HPD,,White,Male,1985-09-03
OFFICE SERVICE MANAGER,Houston Police Department-HPD,58409.0,Black,Female,2008-01-28
CAPTAIN,Houston Fire Department (HFD),66523.0,White,Male,2003-09-15
SENIOR POLICE OFFICER,Houston Police Department-HPD,,Hispanic,Male,1979-02-12
SENIOR POLICE OFFICER,Houston Police Department-HPD,,White,Male,1983-05-16
ENGINEER/OPERATOR,Houston Fire Department (HFD),61921.0,White,Male,2006-09-11
ACCOUNTANT ASSOCIATE,Public Works & Engineering-PWE,37440.0,Black,Female,2014-01-21
POLICE SERGEANT,Houston Police Department-HPD,,White,Male,1985-01-07
SENIOR POLICE OFFICER,Houston Police Department-HPD,66614.0,Hispanic,Male,1992-08-31
POLICE OFFICER,Houston Police Department-HPD,52514.0,Hispanic,Male,2009-06-22
IT PROJECT MANAGER,Houston Airport System (HAS),96284.0,White,Male,2012-11-26
SENIOR STAFF ANALYST,Public Works & Engineering-PWE,90293.0,Hispanic,Male,2000-07-01
FIRE FIGHTER,Houston Fire Department (HFD),48190.0,Hispanic,Male,2011-04-18
ENGINEER/OPERATOR,Houston Fire Department (HFD),62540.0,White,Male,2004-03-22
PUBLIC HEALTH INVESTIGATOR SUPERVISOR,Health & Human Services,57433.0,Black,Female,1994-01-03
FIRE FIGHTER,Houston Fire Department (HFD),51194.0,White,Male,2008-06-16
POLICE OFFICER,Houston Police Department-HPD,55461.0,White,Male,2008-08-18
UTILITY WORKER,Public Works & Engineering-PWE,31408.0,Asian,Male,1994-01-04
RECREATION FACILITY MANAGER,Parks & Recreation,46580.0,Hispanic,Male,1993-11-13
WATER SERVICE INSPECTOR II,Public Works & Engineering-PWE,40581.0,Black,Female,1990-04-16
ADMINISTRATIVE ASSISTANT,Houston Police Department-HPD,45552.0,White,Female,2007-12-03
POLICE OFFICER,Houston Police Department-HPD,47650.0,Black,Male,2015-01-07
POLICE OFFICER,Houston Police Department-HPD,50621.0,White,Female,2011-03-21
RECREATION ASSISTANT,Parks & Recreation,,Asian,Male,2016-05-16
SENIOR POLICE OFFICER,Houston Police Department-HPD,,White,Male,1982-12-01
FIRE FIGHTER,Houston Fire Department (HFD),43528.0,Black,Male,2014-06-21
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,White,Male,2003-12-01
POLICE SERGEANT,Houston Police Department-HPD,81239.0,White,Male,1985-09-03
POLICE OFFICER,Houston Police Department-HPD,60347.0,White,Male,1997-08-25
CUSTOMER SERVICE REPRESENTATIVE III,Health & Human Services,37835.0,Hispanic,Female,2015-02-02
UTILITY WORKER,Public Works & Engineering-PWE,30139.0,Black,Male,2014-09-22
POLICE SERGEANT,Houston Police Department-HPD,81239.0,Black,Male,1993-11-08
GENERAL SUPERINTENDENT,Public Works & Engineering-PWE,50960.0,Asian,Male,1981-06-08
SENIOR CUSTOMER SERVICE CLERK,Health & Human Services,34008.0,Hispanic,Female,2014-10-11
FIRE FIGHTER,Houston Fire Department (HFD),55437.0,Hispanic,Male,2003-05-27
